-0.00938179 , -0.0712839 , 0.0459738 , 5.69835 , 0.00932778 , 0.816189 , -8.2822 , -85.81 , 55.5189 , 8582.56 , 9.46878 , 1224.59 , 0.0241199 , -2.59508 , -0.170873 , -14.1113 , -0.382671 , 0.619163 , 0.0844198 , -9.08279 , -0.598056 , -49.3894 , -1.33935 , 2.16707
-0.056173 , 1.01597 , 1.41223 , 99.6297 , -0.127154 , -22.194 , -53.8121 , 1556.82 , 2142.03 , 149492 , -183.46 , -33268.1 , -0.761215 , -78.436 , -4.91987 , -237.584 , 0.614745 , 145.781 , -2.66425 , -274.526 , -17.2195 , -831.542 , 2.15161 , 510.234
0.661068 , 63.2885 , 8.31052 , 268.534 , -5.20042 , -344.342 , 1028.01 , 94967.5 , 12503.2 , 402833 , -7735.55 , -516410 , -3.96488 , 33.0235 , 13.9605 , 2502.01 , 7.8644 , -12.5724 , -13.8771 , 115.582 , 48.8618 , 8757.05 , 27.5254 , -44.0034
8.5756 , 472.307 , 14.7745 , -41.14 , -33.5745 , -1361.11 , 12889 , 708480 , 22180.3 , -61697.4 , -50250.7 , -2.04157e+06 , 25.4494 , 2031.75 , 408.047 , 24391.3 , -54.7509 , -4905.13 , 89.0729 , 7111.12 , 1428.16 , 85369.7 , -191.628 , -17167.9
43.7357 , 1624.51 , -3.33612 , -996.246 , -112.127 , -3131.48 , 65626.9 , 2.4368e+06 , -4993.06 , -1.49435e+06 , -168107 , -4.69715e+06 , 129.185 , 2386.96 , 2231.57 , 83889.2 , -472.869 , -20211.4 , 452.147 , 8354.36 , 7810.51 , 293612 , -1655.04 , -70739.9
134.268 , 3508.8 , -47.9756 , -1227.01 , -263.577 , -5349.91 , 201441 , 5.26326e+06 , -71949.6 , -1.8405e+06 , -395282 , -8.02477e+06 , -41.5913 , -16756.9 , 6759.27 , 170013 , -1595.11 , -42689.6 , -145.569 , -58649.2 , 23657.5 , 595045 , -5582.89 , -149414
295.9 , 5438.3 , -70.6495 , 118.816 , -486.716 , -6903.08 , 443902 , 8.15753e+06 , -105960 , 178242 , -729975 , -1.03545e+07 , -1454.17 , -65533.1 , 14111.3 , 232020 , -3528.23 , -65569.8 , -5089.61 , -229366 , 49389.6 , 812069 , -12348.8 , -229494
505.53 , 5965.52 , -43.6679 , 1073.43 , -724.052 , -5927.45 , 758361 , 8.94839e+06 , -65485.5 , 1.61016e+06 , -1.08597e+06 , -8.89107e+06 , -4778.41 , -116873 , 22335.6 , 215716 , -6349.15 , -94039.4 , -16724.4 , -409055 , 78174.5 , 755007 , -22222 , -329138
686.933 , 3860.7 , -18.0634 , 130.378 , -865.454 , -1794.12 , 1.03048e+06 , 5.7912e+06 , -27080.2 , 195591 , -1.29807e+06 , -2.69113e+06 , -9458.88 , -140493 , 28617.2 , 139407 , -10243.7 , -122414 , -33106.1 , -491726 , 100160 , 487924 , -35853 , -428449
749.025 , -375.148 , -28.3672 , -368.857 , -830.248 , 3323.97 , 1.12363e+06 , -562665 , -42540.7 , -553231 , -1.24527e+06 , 4.98608e+06 , -14619.8 , -149854 , 32613.4 , 108878 , -14638.2 , -118293 , -51169.2 , -524489 , 114147 , 381071 , -51233.7 , -414026
